platform,listing_id,title,category,brand,condition,listed_price,sold_price,date_listed,date_sold,status,days_to_sell,days_active
depop,D0340,Adidas Campus 00S Size 7 1/2,footwear,Adidas,good,42.0,42.0,2025-07-03,2025-07-05,sold,2.0,
depop,D0341,Black Bikini With Silver Metal Grommet,swimwear,Other,good,8.0,8.0,2025-07-05,2025-07-05,sold,0.0,
depop,D0342,Pacsun Casey Lowrise Baggy Jeans Light,bottoms,PacSun,good,13.0,13.0,2025-07-05,2025-07-06,sold,1.0,
depop,D0343,Pacsun Womens Bella Stretch Medium Indigo,bottoms,PacSun,good,13.0,13.0,2025-07-05,2025-07-07,sold,2.0,
depop,D0344,Lunchbox Water Hydration Pack Backpack With,other,Other,good,70.0,70.0,2025-07-05,2025-07-08,sold,3.0,
depop,D0345,Vivienne Westwood Necklaces And Charms Silver,accessories,Vivienne Westwood,good,32.0,32.0,2025-07-09,2025-07-09,sold,0.0,
depop,D0346,Iamgia Ramona Leather Black Corset Top,tops,I.AM.GIA,good,30.0,30.0,2025-07-06,2025-07-09,sold,3.0,
depop,D0347,Vivienne Westwood Style Necklaces And Charms,accessories,Vivienne Westwood,good,28.0,28.0,2025-07-09,2025-07-09,sold,0.0,
depop,D0348,Gold Jewelry Set With Screw Design,accessories,Other,good,22.0,22.0,2025-07-09,2025-07-10,sold,1.0,
depop,D0349,Silver Jewellery Bundle - 18 Pieces,accessories,Urban Outfitters,good,11.0,11.0,2025-07-09,2025-07-10,sold,1.0,
depop,D0350,Gold Jewelry Set Bundle 16 Pieces,accessories,Urban Outfitters,good,11.0,11.0,2025-07-09,2025-07-10,sold,1.0,
depop,D0351,Prettylittlething Vintage Wash Extreme Faded Wide,bottoms,PrettyLittleThing,good,9.4,9.4,2025-07-06,2025-07-10,sold,4.0,
depop,D0352,Edikted Bubble Skirt Ribbed Mini Dress,dresses,Edikted,good,10.0,10.0,2025-06-23,2025-07-11,sold,18.0,
depop,D0353,Hysteric Glamour Grey Tshirt Top With,tops,Hysteric Glamour,good,63.0,63.0,2025-07-09,2025-07-13,sold,4.0,
depop,D0354,Bdg Urban Outfitters Carpenter Jeans Light,bottoms,BDG,good,11.0,11.0,2025-06-23,2025-07-14,sold,21.0,
depop,D0355,Levis 518 Superlow Bootcut Jeans Lowrise,bottoms,Levi's,good,18.0,18.0,2025-07-09,2025-07-16,sold,7.0,
depop,D0356,Hype And Vice Ucla College Merch,tops,Other,good,11.0,11.0,2025-07-09,2025-07-17,sold,8.0,
depop,D0357,Black Levi'S 501 Denim Jean Shorts,bottoms,Levi's,good,15.0,15.0,2025-07-16,2025-07-18,sold,2.0,
depop,D0358,White Corset Mini Short Dress With,dresses,Other,good,8.0,8.0,2025-07-16,2025-07-22,sold,6.0,
depop,D0359,Plastic Colorful Chunky Rings Bundle 50+,accessories,Other,good,8.0,8.0,2025-07-10,2025-07-23,sold,13.0,
depop,D0360,Muave John Galt Brandy Melville Shorts,bottoms,Brandy Melville,good,9.0,9.0,2025-07-24,2025-07-27,sold,3.0,
depop,D0361,Gold Double C Necklace Some Signs,accessories,Other,good,15.0,15.0,2025-07-09,2025-07-27,sold,18.0,
depop,D0362,John Galt Brandy Melville Amaya Lace,tops,Brandy Melville,good,7.0,7.0,2025-07-24,2025-07-28,sold,4.0,
depop,D0363,Grey Cotton On Baby Tee #Casualwear,tops,Cotton On,good,5.0,5.0,2025-07-24,2025-07-28,sold,4.0,
depop,D0364,Victorias Secret Black Lace Corset Top,tops,Victoria's Secret,good,22.0,22.0,2025-07-16,2025-07-29,sold,13.0,
depop,D0365,Brandy Melville John Galt Ribbed Connor,tops,Brandy Melville,good,6.0,6.0,2025-07-24,2025-07-29,sold,5.0,
depop,D0366,Black & White Maid Costume Dress,dresses,Other,good,15.2,15.2,2025-07-16,2025-07-30,sold,14.0,
depop,D0367,Iamgia White And Pink Flame Heart,tops,I.AM.GIA,good,10.45,10.45,2025-07-24,2025-07-30,sold,6.0,
depop,D0368,Black And White Bape Star Bapesta,footwear,Other,good,25.6,25.6,2025-07-29,2025-07-30,sold,1.0,
depop,D0369,Brand New Never Worn En Route,accessories,Other,good,35.0,35.0,2025-07-28,2025-07-31,sold,3.0,
depop,D0370,Blue And White Camo Bikini Set,swimwear,Other,good,15.0,15.0,2025-07-29,2025-07-31,sold,2.0,
depop,D0371,Edikted Contrast Off Shoulder Top Olive,tops,Edikted,good,5.0,5.0,2025-06-23,2025-07-31,sold,38.0,
depop,D0372,Brand New Never Worn En Route,accessories,Other,good,38.0,38.0,2025-07-28,2025-08-02,sold,5.0,
depop,D0373,Sealed Olivia Rodrigo Can'T Catchme Now-Etched,other,Other,good,36.0,36.0,2025-07-28,2025-08-02,sold,5.0,
depop,D0374,Brandy Melville John Galt Olive Green,tops,Brandy Melville,good,7.0,7.0,2025-07-24,2025-08-09,sold,16.0,
depop,D0375,Cream Suede Stussy Birkenstock Boston Clogs,footwear,Other,good,80.0,80.0,2025-08-12,2025-08-13,sold,1.0,
depop,D0376,Skims Smooth Lounge Skimpy Strap Cami,tops,Skims,good,35.0,35.0,2025-08-13,2025-08-14,sold,1.0,
depop,D0377,Drop-Waist Pleated Mini Dress Cream And,dresses,Other,good,80.0,80.0,2025-08-13,2025-08-14,sold,1.0,
depop,D0378,Suuksess Black Lace Bodysuit With Adjustable,tops,Other,good,9.0,9.0,2025-08-13,2025-08-14,sold,1.0,
depop,D0379,Two Athletic Workout Gym Shorts Blue,bottoms,Other,good,5.0,5.0,2025-08-13,2025-08-15,sold,2.0,
depop,D0380,Cream Suede Stussy Birkenstock Boston Style,footwear,Other,good,75.0,75.0,2025-08-12,2025-08-15,sold,3.0,
depop,D0381,Chrome Silver Ring Size 6 And,accessories,Other,good,22.0,22.0,2025-07-28,2025-08-16,sold,19.0,
depop,D0382,Black Faux Bodycon Leather Micro Mini,bottoms,Other,good,6.0,6.0,2025-08-17,2025-08-17,sold,0.0,
depop,D0383,Uniqlo Black Wide Leg Loose Straight,bottoms,UNIQLO,good,6.0,6.0,2025-08-17,2025-08-17,sold,0.0,
depop,D0384,Navy Trader Joe'S Zip-Up Hoodie #Traderjoes,tops,Trader Joe's,good,6.0,6.0,2025-08-17,2025-08-17,sold,0.0,
depop,D0385,Brandy Melville John Galt White Rosa,bottoms,Brandy Melville,good,18.0,18.0,2025-08-13,2025-08-17,sold,4.0,
depop,D0386,Orange Bikini Set Ribbed Never Worn,swimwear,Other,good,5.4,5.4,2025-08-17,2025-08-17,sold,0.0,
depop,D0387,Blue Trim And White Bikini Set,swimwear,Other,good,5.4,5.4,2025-08-17,2025-08-17,sold,0.0,
depop,D0388,Cotton On Black Cropped Cardigan Button,tops,Cotton On,good,6.0,6.0,2025-08-17,2025-08-17,sold,0.0,
depop,D0389,Light Blue Bikini Set Bandeau Strapless,swimwear,Other,good,6.0,6.0,2025-08-17,2025-08-18,sold,1.0,
depop,D0390,Princess Polly Dark Gray Long Sleeve,tops,Princess Polly,good,5.4,5.4,2025-08-17,2025-08-18,sold,1.0,
